"133,-62","0,0","21,-10","45,-24","67,-35","91,-46","117,-56","137,-64","152,-75","161,-80","147,-70"
"-164,-57","0,0","-26,-8","-64,-16","-101,-24","-133,-30","-157,-38","-175,-48","-153,-49","-126,-45","-141,-52"
"59,217","0,0","6,24","14,56","20,87","27,117","33,142","36,165","40,185","47,204","55,223"
"-114,-66","0,0","-8,-4","-20,-11","-32,-20","-44,-30","-58,-40","-70,-49","-83,-57","-95,-65","-104,-69"
"-37,-135","0,0","-27,-103","-56,-193","-57,-154","-47,-103","-34,-47","-13,-11","-19,-42","-13,-43","-19,-84"
"-88,-10","0,0","-6,0","-12,0","-18,0","-24,-1","-33,-3","-43,-6","-54,-7","-64,-8","-73,-9"
"178,117","0,0","21,14","71,44","128,81","174,111","208,134","232,148","222,144","196,131","178,117"
"-167,-45","0,0","-10,-5","-26,-9","-46,-15","-74,-20","-103,-25","-128,-31","-142,-36","-152,-40","-163,-42"
"-181,-143","0,0","-10,-6","-28,-17","-51,-34","-78,-55","-112,-79","-137,-100","-153,-116","-165,-130","-171,-139"
"-177,156","0,0","-12,12","-34,28","-64,55","-99,88","-135,118","-169,142","-189,159","-197,173","-185,167"
"41,-135","0,0","4,-13","11,-26","17,-44","23,-62","29,-77","33,-93","38,-106","41,-121","41,-135"
"-57,-77","0,0","-5,-8","-11,-15","-17,-23","-24,-33","-29,-42","-34,-51","-37,-60","-41,-66","-50,-71"
"-35,-170","0,0","-2,-16","-5,-43","-12,-83","-21,-118","-26,-156","-27,-185","-24,-204","-25,-195","-29,-182"
"-97,51","0,0","-8,3","-18,5","-30,9","-43,13","-56,18","-69,23","-79,27","-89,33","-98,42"
"-173,-117","0,0","-16,-8","-43,-21","-71,-37","-95,-53","-114,-66","-131,-77","-147,-88","-157,-97","-165,-106"
"-146,-11","0,0","-13,0","-29,-3","-51,-7","-73,-10","-92,-10","-107,-10","-120,-9","-133,-9","-146,-11"
"-104,-56","0,0","-12,-3","-24,-8","-36,-15","-50,-21","-63,-27","-74,-32","-81,-39","-90,-43","-98,-49"
"-173,-21","0,0","-13,0","-28,0","-50,-3","-76,-5","-100,-9","-122,-12","-137,-14","-152,-16","-163,-19"
"123,-34","0,0","10,-5","26,-10","53,-15","73,-18","88,-22","103,-28","115,-32","128,-34","137,-35"
"117,152","0,0","8,12","27,27","52,45","72,64","89,84","101,106","107,125","106,144","104,157"
"-45,164","0,0","-7,12","-14,29","-19,52","-23,76","-27,95","-31,114","-35,128","-37,142","-40,154"
"139,21","0,0","14,0","28,0","46,1","66,3","82,5","96,8","107,12","117,16","127,19"
"41,-124","0,0","2,-14","9,-31","19,-51","28,-72","37,-95","44,-117","48,-136","53,-152","48,-142"
"-56,190","0,0","-2,15","-5,30","-8,51","-12,75","-19,96","-27,118","-36,140","-42,160","-49,178"
"-47,124","0,0","-2,11","-6,22","-11,34","-17,50","-24,64","-29,79","-34,89","-38,102","-42,114"
"101,-209","0,0","3,-19","10,-47","26,-84","40,-127","46,-172","47,-202","52,-222","68,-224","86,-217"
"113,117","0,0","3,17","17,30","60,58","103,94","135,123","150,147","142,159","128,151","120,135"
"-152,-184","0,0","-6,-15","-13,-29","-26,-46","-43,-63","-62,-82","-83,-103","-105,-126","-128,-148","-142,-169"
"-22,17","0,0","-2,1","-4,3","-5,5","-8,6","-10,7","-12,8","-14,9","-16,10","-18,12"
"60,34","0,0","3,-3","11,-1","19,3","26,6","34,10","40,14","46,18","50,24","54,29"
"178,120","0,0","12,4","28,9","54,20","88,32","118,49","141,65","160,81","172,94","179,107"
"-38,77","0,0","-3,7","-8,14","-12,21","-16,30","-20,39","-24,49","-29,57","-33,65","-36,71"
"3,-101","0,0","0,-12","1,-24","2,-42","5,-61","7,-80","9,-96","10,-109","9,-110","3,-101"
"-41,77","0,0","-3,8","-8,14","-13,22","-18,31","-22,40","-26,50","-29,59","-32,68","-35,74"
"190,-118","0,0","12,-7","30,-17","56,-33","92,-53","128,-74","157,-92","179,-107","193,-115","203,-121"
"-207,80","0,0","-16,4","-50,10","-96,18","-144,28","-178,41","-198,51","-215,62","-223,73","-223,80"
"-98,-28","0,0","-6,-4","-14,-7","-23,-10","-34,-13","-47,-16","-60,-20","-72,-22","-82,-24","-91,-26"
"191,87","0,0","12,5","29,9","53,16","82,26","113,38","144,52","166,62","183,70","194,78"
"-116,-156","0,0","-5,-11","-18,-24","-38,-47","-64,-79","-88,-113","-108,-142","-126,-166","-133,-173","-126,-165"
"110,-15","0,0","8,-5","17,-11","27,-14","41,-17","54,-18","66,-19","78,-20","89,-20","101,-18"
"87,52","0,0","6,6","16,11","27,15","38,19","48,24","57,31","63,36","71,42","79,48"
"7,101","0,0","5,8","9,17","11,27","15,40","18,51","19,64","18,75","16,86","11,93"
"161,-74","0,0","11,-5","27,-14","49,-25","77,-37","108,-49","134,-60","158,-70","170,-77","169,-79"
"51,39","0,0","6,3","12,5","17,7","24,10","31,13","37,16","42,19","46,24","50,28"
"-90,-115","0,0","-7,-8","-19,-19","-31,-30","-45,-43","-58,-57","-71,-71","-78,-84","-84,-94","-86,-105"
"101,63","0,0","7,5","17,10","27,15","37,22","50,29","62,37","73,44","85,50","95,57"
"43,-20","0,0","1,-4","5,-6","10,-8","14,-10","19,-12","24,-14","29,-16","34,-17","38,-19"
"117,160","0,0","8,10","18,20","33,36","53,55","76,79","93,103","104,121","109,137","110,151"
"-166,-157","0,0","-15,-12","-39,-27","-66,-48","-89,-68","-111,-91","-129,-110","-140,-126","-153,-139","-166,-157"
"76,-84","0,0","2,-6","6,-13","13,-19","20,-29","29,-40","40,-52","52,-63","62,-71","70,-78"
"11,-116","0,0","-2,-10","-3,-20","-4,-31","-4,-46","0,-59","4,-72","6,-86","9,-97","10,-107"
"-64,-48","0,0","-3,-6","-7,-10","-14,-16","-22,-24","-30,-29","-37,-33","-45,-37","-53,-40","-61,-42"
"202,-176","0,0","22,-9","51,-27","81,-50","110,-76","135,-96","150,-110","164,-124","184,-140","193,-160"
"106,116","0,0","7,8","20,19","36,28","56,38","78,51","94,65","103,78","107,91","105,104"
"-1,-24","0,0","-2,-1","-4,-2","-4,-5","-4,-8","-4,-11","-4,-14","-3,-17","-2,-19","-2,-22"
